num_ips,healthtime,longitude,latitude,machinefunction,policystatus
1,2012-02-03 21:00:00,-157.95126,8.187833,office,5
1,2012-02-03 21:00:00,-157.69624,9.970395,atm,5
1,2012-02-03 21:00:00,-157.69624,9.970395,office,5
1,2012-02-03 21:00:00,-157.65923,7.2150555,loan,5
1,2012-02-03 21:00:00,-156.94113,11.879465,atm,5
1,2012-02-03 21:00:00,-156.83212,6.3771725,atm,5
1,2012-02-03 21:00:00,-156.68741,6.597197,multiple,5
1,2012-02-03 21:00:00,-156.32468,10.167218,office,5
1,2012-02-03 21:00:00,-155.8597,6.435904,office,5
1,2012-02-03 21:00:00,-155.6087,11.593182,file server,5
1,2012-02-03 21:00:00,-155.57938,8.610605,loan,5
1,2012-02-03 21:00:00,-154.6626,22.512934,office,5
1,2012-02-03 21:00:00,-154.40416,12.838592,file server,5
1,2012-02-03 21:00:00,-153.9516,26.820017,loan,5
1,2012-02-03 21:00:00,-153.92084,31.16062,office,5
1,2012-02-03 21:00:00,-153.88872,9.3937845,office,5
1,2012-02-03 21:00:00,-153.82442,17.51288,web,5
1,2012-02-03 21:00:00,-153.81564,17.473951,office,5
1,2012-02-03 21:00:00,-153.73763,12.841942,teller,5
1,2012-02-03 21:00:00,-153.63293,18.84595,web,5
1,2012-02-03 21:00:00,-153.3644,19.843685,teller,5
1,2012-02-03 21:00:00,-153.26303,24.063335,web,5
1,2012-02-03 21:00:00,-153.12617,10.168641,atm,5
1,2012-02-03 21:00:00,-153.12274,31.42288,office,5
1,2012-02-03 21:00:00,-153.07982,6.850895,multiple,5
1,2012-02-03 21:00:00,-152.7379,20.999176,teller,5
1,2012-02-03 21:00:00,-152.43501,29.4822,loan,5
1,2012-02-03 21:00:00,-152.32234,25.686155,multiple,5
1,2012-02-03 21:00:00,-152.28792,22.419552,office,5
1,2012-02-03 21:00:00,-152.07751,23.800468,file server,5
1,2012-02-03 21:00:00,-152.03041,23.018724,multiple,5
1,2012-02-03 21:00:00,-151.93916,8.105265,teller,5
1,2012-02-03 21:00:00,-151.79329,14.804786,multiple,5
1,2012-02-03 21:00:00,-151.69621,4.323845,office,5
1,2012-02-03 21:00:00,-151.26984,23.422855,office,5
1,2012-02-03 21:00:00,-150.9346,-0.01761969,multiple,5
1,2012-02-03 21:00:00,-150.77072,4.8310285,web,5
1,2012-02-03 21:00:00,-150.49945,19.505,loan,5
1,2012-02-03 21:00:00,-150.28049,-0.79153305,compute,5
1,2012-02-03 21:00:00,-150.1707,27.93195,multiple,5
1,2012-02-03 21:00:00,-150.16916,21.188345,loan,5
1,2012-02-03 21:00:00,-150.16814,13.299193,loan,5
1,2012-02-03 21:00:00,-150.07423,30.54823,multiple,5
1,2012-02-03 21:00:00,-150.07423,30.54823,office,5
1,2012-02-03 21:00:00,-150.07101,1.558871,file server,5
1,2012-02-03 21:00:00,-150.06894,22.761087,office,5
1,2012-02-03 21:00:00,-149.96669,-0.5500895,multiple,5
1,2012-02-03 21:00:00,-149.88173,1.6408741,teller,5
2,2012-02-03 21:00:00,-149.85117,15.897818,atm,5
1,2012-02-03 21:00:00,-149.72952,5.2733727,loan,5
2,2012-02-03 21:00:00,-149.70091,18.600279,teller,5
1,2012-02-03 21:00:00,-149.70082,30.032206,multiple,5
1,2012-02-03 21:00:00,-149.62517,17.913385,loan,5
1,2012-02-03 21:00:00,-149.61183,5.4394693,office,5
1,2012-02-03 21:00:00,-149.60645,27.772125,office,5
1,2012-02-03 21:00:00,-149.45747,4.7595043,web,5
