num_ipaddr;healthtime;machineclass
2481;2/2/2012 8:15;atm
2480;2/2/2012 8:30;atm
2478;2/2/2012 8:45;atm
2478;2/2/2012 9:00;atm
2478;2/2/2012 9:15;atm
2480;2/2/2012 9:30;atm
2481;2/2/2012 9:45;atm
2480;2/2/2012 10:00;atm
2480;2/2/2012 10:15;atm
2480;2/2/2012 10:30;atm
2478;2/2/2012 10:45;atm
2478;2/2/2012 11:00;atm
2478;2/2/2012 11:15;atm
2480;2/2/2012 11:30;atm
2481;2/2/2012 11:45;atm
2481;2/2/2012 12:00;atm
2461;2/2/2012 12:15;atm
2460;2/2/2012 12:30;atm
2461;2/2/2012 12:45;atm
2460;2/2/2012 13:00;atm
2329;2/2/2012 13:15;atm
2330;2/2/2012 13:30;atm
2330;2/2/2012 13:45;atm
2330;2/2/2012 14:00;atm
2290;2/2/2012 14:15;atm
2290;2/2/2012 14:30;atm
2289;2/2/2012 14:45;atm
2288;2/2/2012 15:00;atm
2269;2/2/2012 15:15;atm
2270;2/2/2012 15:30;atm
2269;2/2/2012 15:45;atm
2270;2/2/2012 16:00;atm
2201;2/2/2012 16:15;atm
2200;2/2/2012 16:30;atm
2201;2/2/2012 16:45;atm
2200;2/2/2012 17:00;atm
2172;2/2/2012 17:15;atm
2172;2/2/2012 17:30;atm
2172;2/2/2012 17:45;atm
2172;2/2/2012 18:00;atm
2155;2/2/2012 18:15;atm
2154;2/2/2012 18:30;atm
2154;2/2/2012 18:45;atm
2155;2/2/2012 19:00;atm
2154;2/2/2012 19:15;atm
2155;2/2/2012 19:30;atm
2156;2/2/2012 19:45;atm
2153;2/2/2012 20:00;atm
2154;2/2/2012 20:15;atm
2153;2/2/2012 20:30;atm
2154;2/2/2012 20:45;atm
2154;2/2/2012 21:00;atm
2154;2/2/2012 21:15;atm
2154;2/2/2012 21:30;atm
2155;2/2/2012 21:45;atm
2155;2/2/2012 22:00;atm
2155;2/2/2012 22:15;atm
2155;2/2/2012 22:30;atm
2154;2/2/2012 22:45;atm
2155;2/2/2012 23:00;atm
2240;2/2/2012 23:15;atm
2240;2/2/2012 23:30;atm
2241;2/2/2012 23:45;atm
2241;3/2/2012 0:00;atm
2260;3/2/2012 0:15;atm
2262;3/2/2012 0:30;atm
2263;3/2/2012 0:45;atm
