num_ipaddr,healthtime,machineclass
6040,2012-02-03 13:00:00,atm
37049,2012-02-03 13:00:00,multiple
68465,2012-02-03 13:00:00,compute
33318,2012-02-03 13:00:00,file server
9454,2012-02-03 13:00:00,email
19580,2012-02-03 13:00:00,web
18436,2012-02-03 13:00:00,office
8088,2012-02-03 13:00:00,loan
8086,2012-02-03 13:00:00,teller
6040,2012-02-03 13:15:00,atm
37044,2012-02-03 13:15:00,multiple
68460,2012-02-03 13:15:00,compute
33311,2012-02-03 13:15:00,file server
9450,2012-02-03 13:15:00,email
19581,2012-02-03 13:15:00,web
18447,2012-02-03 13:15:00,office
8088,2012-02-03 13:15:00,loan
8079,2012-02-03 13:15:00,teller
6036,2012-02-03 13:30:00,atm
37046,2012-02-03 13:30:00,multiple
68446,2012-02-03 13:30:00,compute
33314,2012-02-03 13:30:00,file server
9451,2012-02-03 13:30:00,email
19574,2012-02-03 13:30:00,web
18456,2012-02-03 13:30:00,office
8084,2012-02-03 13:30:00,loan
8081,2012-02-03 13:30:00,teller
6036,2012-02-03 13:45:00,atm
37050,2012-02-03 13:45:00,multiple
68458,2012-02-03 13:45:00,compute
33327,2012-02-03 13:45:00,file server
9450,2012-02-03 13:45:00,email
19574,2012-02-03 13:45:00,web
18446,2012-02-03 13:45:00,office
8085,2012-02-03 13:45:00,loan
8089,2012-02-03 13:45:00,teller
6039,2012-02-03 14:00:00,atm
37060,2012-02-03 14:00:00,multiple
68454,2012-02-03 14:00:00,compute
33325,2012-02-03 14:00:00,file server
9448,2012-02-03 14:00:00,email
19574,2012-02-03 14:00:00,web
18453,2012-02-03 14:00:00,office
8081,2012-02-03 14:00:00,loan
8089,2012-02-03 14:00:00,teller
6037,2012-02-03 14:15:00,atm
37047,2012-02-03 14:15:00,multiple
68459,2012-02-03 14:15:00,compute
33320,2012-02-03 14:15:00,file server
9451,2012-02-03 14:15:00,email
19576,2012-02-03 14:15:00,web
18460,2012-02-03 14:15:00,office
8084,2012-02-03 14:15:00,loan
8093,2012-02-03 14:15:00,teller
6039,2012-02-03 14:30:00,atm
37057,2012-02-03 14:30:00,multiple
68469,2012-02-03 14:30:00,compute
33308,2012-02-03 14:30:00,file server
9453,2012-02-03 14:30:00,email
19577,2012-02-03 14:30:00,web
18453,2012-02-03 14:30:00,office
8082,2012-02-03 14:30:00,loan
8098,2012-02-03 14:30:00,teller
6037,2012-02-03 14:45:00,atm
37060,2012-02-03 14:45:00,multiple
68468,2012-02-03 14:45:00,compute
33310,2012-02-03 14:45:00,file server
9457,2012-02-03 14:45:00,email
19578,2012-02-03 14:45:00,web
18447,2012-02-03 14:45:00,office
8085,2012-02-03 14:45:00,loan
8101,2012-02-03 14:45:00,teller
6041,2012-02-03 15:00:00,atm
37062,2012-02-03 15:00:00,multiple
68461,2012-02-03 15:00:00,compute
33309,2012-02-03 15:00:00,file server
9461,2012-02-03 15:00:00,email
19586,2012-02-03 15:00:00,web
18440,2012-02-03 15:00:00,office
8080,2012-02-03 15:00:00,loan
8101,2012-02-03 15:00:00,teller
6039,2012-02-03 15:15:00,atm
37070,2012-02-03 15:15:00,multiple
68459,2012-02-03 15:15:00,compute
33307,2012-02-03 15:15:00,file server
9460,2012-02-03 15:15:00,email
19580,2012-02-03 15:15:00,web
18439,2012-02-03 15:15:00,office
8082,2012-02-03 15:15:00,loan
8089,2012-02-03 15:15:00,teller
6040,2012-02-03 15:30:00,atm
37059,2012-02-03 15:30:00,multiple
68462,2012-02-03 15:30:00,compute
33314,2012-02-03 15:30:00,file server
9458,2012-02-03 15:30:00,email
19588,2012-02-03 15:30:00,web
18444,2012-02-03 15:30:00,office
8082,2012-02-03 15:30:00,loan
8094,2012-02-03 15:30:00,teller
6037,2012-02-03 15:45:00,atm
37052,2012-02-03 15:45:00,multiple
68471,2012-02-03 15:45:00,compute
33321,2012-02-03 15:45:00,file server
9456,2012-02-03 15:45:00,email
19592,2012-02-03 15:45:00,web
18443,2012-02-03 15:45:00,office
8082,2012-02-03 15:45:00,loan
8095,2012-02-03 15:45:00,teller
6037,2012-02-03 16:00:00,atm
37051,2012-02-03 16:00:00,multiple
68468,2012-02-03 16:00:00,compute
33321,2012-02-03 16:00:00,file server
9454,2012-02-03 16:00:00,email
19590,2012-02-03 16:00:00,web
18446,2012-02-03 16:00:00,office
8082,2012-02-03 16:00:00,loan
8090,2012-02-03 16:00:00,teller
6037,2012-02-03 16:15:00,atm
37064,2012-02-03 16:15:00,multiple
68477,2012-02-03 16:15:00,compute
33327,2012-02-03 16:15:00,file server
9452,2012-02-03 16:15:00,email
19589,2012-02-03 16:15:00,web
18450,2012-02-03 16:15:00,office
8083,2012-02-03 16:15:00,loan
8094,2012-02-03 16:15:00,teller
6035,2012-02-03 16:30:00,atm
37063,2012-02-03 16:30:00,multiple
68474,2012-02-03 16:30:00,compute
33334,2012-02-03 16:30:00,file server
9451,2012-02-03 16:30:00,email
19575,2012-02-03 16:30:00,web
18445,2012-02-03 16:30:00,office
8083,2012-02-03 16:30:00,loan
8090,2012-02-03 16:30:00,teller
6039,2012-02-03 16:45:00,atm
37069,2012-02-03 16:45:00,multiple
68463,2012-02-03 16:45:00,compute
33323,2012-02-03 16:45:00,file server
9457,2012-02-03 16:45:00,email
19581,2012-02-03 16:45:00,web
18448,2012-02-03 16:45:00,office
8090,2012-02-03 16:45:00,loan
8089,2012-02-03 16:45:00,teller
6035,2012-02-02 16:00:00,atm
33366,2012-02-02 16:00:00,multiple
42037,2012-02-02 16:00:00,compute
25132,2012-02-02 16:00:00,file server
8232,2012-02-02 16:00:00,email
18345,2012-02-02 16:00:00,web
18448,2012-02-02 16:00:00,office
8086,2012-02-02 16:00:00,loan
8085,2012-02-02 16:00:00,teller
6037,2012-02-02 16:15:00,atm
33376,2012-02-02 16:15:00,multiple
42054,2012-02-02 16:15:00,compute
25147,2012-02-02 16:15:00,file server
8233,2012-02-02 16:15:00,email
18353,2012-02-02 16:15:00,web
18436,2012-02-02 16:15:00,office
8086,2012-02-02 16:15:00,loan
8082,2012-02-02 16:15:00,teller
6038,2012-02-02 16:30:00,atm
33373,2012-02-02 16:30:00,multiple
42056,2012-02-02 16:30:00,compute
25147,2012-02-02 16:30:00,file server
8234,2012-02-02 16:30:00,email
18356,2012-02-02 16:30:00,web
18445,2012-02-02 16:30:00,office
8090,2012-02-02 16:30:00,loan
8093,2012-02-02 16:30:00,teller
6037,2012-02-02 16:45:00,atm
33373,2012-02-02 16:45:00,multiple
42060,2012-02-02 16:45:00,compute
25139,2012-02-02 16:45:00,file server
8237,2012-02-02 16:45:00,email
18352,2012-02-02 16:45:00,web
18450,2012-02-02 16:45:00,office
8086,2012-02-02 16:45:00,loan
8090,2012-02-02 16:45:00,teller
6039,2012-02-02 17:00:00,atm
33378,2012-02-02 17:00:00,multiple
42053,2012-02-02 17:00:00,compute
25137,2012-02-02 17:00:00,file server
8236,2012-02-02 17:00:00,email
18349,2012-02-02 17:00:00,web
18448,2012-02-02 17:00:00,office
8085,2012-02-02 17:00:00,loan
8091,2012-02-02 17:00:00,teller
6039,2012-02-02 17:15:00,atm
33380,2012-02-02 17:15:00,multiple
42048,2012-02-02 17:15:00,compute
25136,2012-02-02 17:15:00,file server
8234,2012-02-02 17:15:00,email
18354,2012-02-02 17:15:00,web
18454,2012-02-02 17:15:00,office
8083,2012-02-02 17:15:00,loan
8091,2012-02-02 17:15:00,teller
6040,2012-02-02 17:30:00,atm
33368,2012-02-02 17:30:00,multiple
42049,2012-02-02 17:30:00,compute
25133,2012-02-02 17:30:00,file server
8232,2012-02-02 17:30:00,email
18346,2012-02-02 17:30:00,web
18454,2012-02-02 17:30:00,office
8100,2012-02-02 17:30:00,loan
8084,2012-02-02 17:30:00,teller
6040,2012-02-02 17:45:00,atm
33364,2012-02-02 17:45:00,multiple
42045,2012-02-02 17:45:00,compute
25144,2012-02-02 17:45:00,file server
8233,2012-02-02 17:45:00,email
18348,2012-02-02 17:45:00,web
18458,2012-02-02 17:45:00,office
8099,2012-02-02 17:45:00,loan
8086,2012-02-02 17:45:00,teller
6039,2012-02-02 18:00:00,atm
33349,2012-02-02 18:00:00,multiple
42024,2012-02-02 18:00:00,compute
25134,2012-02-02 18:00:00,file server
8228,2012-02-02 18:00:00,email
18343,2012-02-02 18:00:00,web
18462,2012-02-02 18:00:00,office
8090,2012-02-02 18:00:00,loan
8091,2012-02-02 18:00:00,teller
6041,2012-02-02 18:15:00,atm
36241,2012-02-02 18:15:00,multiple
62601,2012-02-02 18:15:00,compute
31480,2012-02-02 18:15:00,file server
9170,2012-02-02 18:15:00,email
19273,2012-02-02 18:15:00,web
18460,2012-02-02 18:15:00,office
8091,2012-02-02 18:15:00,loan
8083,2012-02-02 18:15:00,teller
6040,2012-02-02 18:30:00,atm
36248,2012-02-02 18:30:00,multiple
62609,2012-02-02 18:30:00,compute
31481,2012-02-02 18:30:00,file server
9178,2012-02-02 18:30:00,email
19278,2012-02-02 18:30:00,web
18456,2012-02-02 18:30:00,office
8085,2012-02-02 18:30:00,loan
8087,2012-02-02 18:30:00,teller
6043,2012-02-02 18:45:00,atm
36243,2012-02-02 18:45:00,multiple
62626,2012-02-02 18:45:00,compute
31478,2012-02-02 18:45:00,file server
9180,2012-02-02 18:45:00,email
19270,2012-02-02 18:45:00,web
18440,2012-02-02 18:45:00,office
8077,2012-02-02 18:45:00,loan
8085,2012-02-02 18:45:00,teller
6041,2012-02-02 19:00:00,atm
36262,2012-02-02 19:00:00,multiple
62631,2012-02-02 19:00:00,compute
31483,2012-02-02 19:00:00,file server
9186,2012-02-02 19:00:00,email
19280,2012-02-02 19:00:00,web
18435,2012-02-02 19:00:00,office
8086,2012-02-02 19:00:00,loan
8083,2012-02-02 19:00:00,teller
6039,2012-02-02 19:15:00,atm
37059,2012-02-02 19:15:00,multiple
68469,2012-02-02 19:15:00,compute
33312,2012-02-02 19:15:00,file server
9449,2012-02-02 19:15:00,email
19590,2012-02-02 19:15:00,web
18441,2012-02-02 19:15:00,office
8091,2012-02-02 19:15:00,loan
8080,2012-02-02 19:15:00,teller
6038,2012-02-02 19:30:00,atm
37053,2012-02-02 19:30:00,multiple
68469,2012-02-02 19:30:00,compute
33315,2012-02-02 19:30:00,file server
9449,2012-02-02 19:30:00,email
19590,2012-02-02 19:30:00,web
18445,2012-02-02 19:30:00,office
8090,2012-02-02 19:30:00,loan
8083,2012-02-02 19:30:00,teller
6038,2012-02-02 19:45:00,atm
37056,2012-02-02 19:45:00,multiple
68472,2012-02-02 19:45:00,compute
33306,2012-02-02 19:45:00,file server
9448,2012-02-02 19:45:00,email
19589,2012-02-02 19:45:00,web
18437,2012-02-02 19:45:00,office
8088,2012-02-02 19:45:00,loan
8082,2012-02-02 19:45:00,teller
6038,2012-02-03 01:00:00,atm
37057,2012-02-03 01:00:00,multiple
68467,2012-02-03 01:00:00,compute
33312,2012-02-03 01:00:00,file server
9450,2012-02-03 01:00:00,email
19590,2012-02-03 01:00:00,web
10991,2012-02-03 01:00:00,office
4815,2012-02-03 01:00:00,loan
4839,2012-02-03 01:00:00,teller
6038,2012-02-03 01:15:00,atm
37058,2012-02-03 01:15:00,multiple
68473,2012-02-03 01:15:00,compute
33312,2012-02-03 01:15:00,file server
9449,2012-02-03 01:15:00,email
19594,2012-02-03 01:15:00,web
10978,2012-02-03 01:15:00,office
4810,2012-02-03 01:15:00,loan
4833,2012-02-03 01:15:00,teller
6041,2012-02-03 01:30:00,atm
37048,2012-02-03 01:30:00,multiple
68484,2012-02-03 01:30:00,compute
33317,2012-02-03 01:30:00,file server
9449,2012-02-03 01:30:00,email
19577,2012-02-03 01:30:00,web
10969,2012-02-03 01:30:00,office
4816,2012-02-03 01:30:00,loan
4835,2012-02-03 01:30:00,teller
6041,2012-02-03 01:45:00,atm
37052,2012-02-03 01:45:00,multiple
68495,2012-02-03 01:45:00,compute
33316,2012-02-03 01:45:00,file server
9451,2012-02-03 01:45:00,email
19576,2012-02-03 01:45:00,web
10966,2012-02-03 01:45:00,office
4819,2012-02-03 01:45:00,loan
4841,2012-02-03 01:45:00,teller
6040,2012-02-03 02:00:00,atm
37046,2012-02-03 02:00:00,multiple
68488,2012-02-03 02:00:00,compute
33311,2012-02-03 02:00:00,file server
9445,2012-02-03 02:00:00,email
19574,2012-02-03 02:00:00,web
10966,2012-02-03 02:00:00,office
4820,2012-02-03 02:00:00,loan
4845,2012-02-03 02:00:00,teller
6039,2012-02-03 02:15:00,atm
37042,2012-02-03 02:15:00,multiple
68486,2012-02-03 02:15:00,compute
33309,2012-02-03 02:15:00,file server
9440,2012-02-03 02:15:00,email
19582,2012-02-03 02:15:00,web
10970,2012-02-03 02:15:00,office
4814,2012-02-03 02:15:00,loan
4842,2012-02-03 02:15:00,teller
6037,2012-02-03 02:30:00,atm
37051,2012-02-03 02:30:00,multiple
68478,2012-02-03 02:30:00,compute
33307,2012-02-03 02:30:00,file server
9446,2012-02-03 02:30:00,email
19587,2012-02-03 02:30:00,web
10966,2012-02-03 02:30:00,office
4813,2012-02-03 02:30:00,loan
4843,2012-02-03 02:30:00,teller
6036,2012-02-03 02:45:00,atm
37064,2012-02-03 02:45:00,multiple
68474,2012-02-03 02:45:00,compute
33318,2012-02-03 02:45:00,file server
9446,2012-02-03 02:45:00,email
19593,2012-02-03 02:45:00,web
10974,2012-02-03 02:45:00,office
4813,2012-02-03 02:45:00,loan
4843,2012-02-03 02:45:00,teller
6039,2012-02-03 03:00:00,atm
37070,2012-02-03 03:00:00,multiple
68477,2012-02-03 03:00:00,compute
33317,2012-02-03 03:00:00,file server
9444,2012-02-03 03:00:00,email
19594,2012-02-03 03:00:00,web
10983,2012-02-03 03:00:00,office
4808,2012-02-03 03:00:00,loan
4844,2012-02-03 03:00:00,teller
6039,2012-02-03 03:15:00,atm
37073,2012-02-03 03:15:00,multiple
68477,2012-02-03 03:15:00,compute
33319,2012-02-03 03:15:00,file server
9452,2012-02-03 03:15:00,email
19594,2012-02-03 03:15:00,web
10986,2012-02-03 03:15:00,office
4808,2012-02-03 03:15:00,loan
4843,2012-02-03 03:15:00,teller
6039,2012-02-03 03:30:00,atm
37064,2012-02-03 03:30:00,multiple
68474,2012-02-03 03:30:00,compute
33312,2012-02-03 03:30:00,file server
9459,2012-02-03 03:30:00,email
19587,2012-02-03 03:30:00,web
10984,2012-02-03 03:30:00,office
4808,2012-02-03 03:30:00,loan
4844,2012-02-03 03:30:00,teller
6038,2012-02-03 03:45:00,atm
37059,2012-02-03 03:45:00,multiple
68475,2012-02-03 03:45:00,compute
33323,2012-02-03 03:45:00,file server
9459,2012-02-03 03:45:00,email
