num_ipaddr,healthtime,machineclass
2480,2012-02-03 13:00:00,atm
4982,2012-02-03 13:00:00,multiple
432,2012-02-03 13:00:00,compute
2144,2012-02-03 13:00:00,file server
1001,2012-02-03 13:00:00,email
2712,2012-02-03 13:00:00,web
7338,2012-02-03 13:00:00,office
3272,2012-02-03 13:00:00,loan
3268,2012-02-03 13:00:00,teller
2478,2012-02-03 13:15:00,atm
4983,2012-02-03 13:15:00,multiple
432,2012-02-03 13:15:00,compute
2145,2012-02-03 13:15:00,file server
1001,2012-02-03 13:15:00,email
2716,2012-02-03 13:15:00,web
7342,2012-02-03 13:15:00,office
3273,2012-02-03 13:15:00,loan
3267,2012-02-03 13:15:00,teller
2477,2012-02-03 13:30:00,atm
4988,2012-02-03 13:30:00,multiple
432,2012-02-03 13:30:00,compute
2145,2012-02-03 13:30:00,file server
1003,2012-02-03 13:30:00,email
2717,2012-02-03 13:30:00,web
7345,2012-02-03 13:30:00,office
3272,2012-02-03 13:30:00,loan
3265,2012-02-03 13:30:00,teller
2478,2012-02-03 13:45:00,atm
4984,2012-02-03 13:45:00,multiple
432,2012-02-03 13:45:00,compute
2146,2012-02-03 13:45:00,file server
1001,2012-02-03 13:45:00,email
2718,2012-02-03 13:45:00,web
7339,2012-02-03 13:45:00,office
3270,2012-02-03 13:45:00,loan
3270,2012-02-03 13:45:00,teller
2478,2012-02-03 14:00:00,atm
4983,2012-02-03 14:00:00,multiple
432,2012-02-03 14:00:00,compute
2147,2012-02-03 14:00:00,file server
1000,2012-02-03 14:00:00,email
2719,2012-02-03 14:00:00,web
7334,2012-02-03 14:00:00,office
3269,2012-02-03 14:00:00,loan
3273,2012-02-03 14:00:00,teller
2480,2012-02-03 14:15:00,atm
4978,2012-02-03 14:15:00,multiple
432,2012-02-03 14:15:00,compute
2146,2012-02-03 14:15:00,file server
1000,2012-02-03 14:15:00,email
2716,2012-02-03 14:15:00,web
7340,2012-02-03 14:15:00,office
3266,2012-02-03 14:15:00,loan
3270,2012-02-03 14:15:00,teller
2481,2012-02-03 14:30:00,atm
4976,2012-02-03 14:30:00,multiple
431,2012-02-03 14:30:00,compute
2147,2012-02-03 14:30:00,file server
1002,2012-02-03 14:30:00,email
2715,2012-02-03 14:30:00,web
7343,2012-02-03 14:30:00,office
3269,2012-02-03 14:30:00,loan
3266,2012-02-03 14:30:00,teller
2480,2012-02-03 14:45:00,atm
4976,2012-02-03 14:45:00,multiple
431,2012-02-03 14:45:00,compute
2146,2012-02-03 14:45:00,file server
1001,2012-02-03 14:45:00,email
2715,2012-02-03 14:45:00,web
7347,2012-02-03 14:45:00,office
3272,2012-02-03 14:45:00,loan
3265,2012-02-03 14:45:00,teller
2480,2012-02-03 15:00:00,atm
4977,2012-02-03 15:00:00,multiple
431,2012-02-03 15:00:00,compute
2145,2012-02-03 15:00:00,file server
1001,2012-02-03 15:00:00,email
2711,2012-02-03 15:00:00,web
7336,2012-02-03 15:00:00,office
3271,2012-02-03 15:00:00,loan
3266,2012-02-03 15:00:00,teller
2480,2012-02-03 15:15:00,atm
4982,2012-02-03 15:15:00,multiple
432,2012-02-03 15:15:00,compute
2145,2012-02-03 15:15:00,file server
1002,2012-02-03 15:15:00,email
2712,2012-02-03 15:15:00,web
